Jalan	Gang	Perumahan_Blok_Komplek	Blok	RT	RW	Kelurahan	Kecamatan	Kota_Kab	Jumlah_Entri_Alamat_Sama
		Rengganis	VI	35		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	5
		Vila Damai	B-1	31		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
Bantimurung		Griya Permata Asri Jl.. Bantimurung				Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	1
Barito		Griya Permata Asri Jl.. Barito		42		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
Barito		Griya Permata Asri. Jl.. Barito		42		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	5
Belatuk			J1	26		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	5
Belatuk I				25		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
Bengawan Solo		Griya Permata Asri Jl.. Bengawan Solo		90		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	3
Danau Toba		Griya Permata Asri Jl.. Danau Toba		42		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
Enggang 1		Bds 2 Jl.. Enggang 1	U	34		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	1
Enggang 1 Bol U		Bds 2 Jl.. Enggang 1 Bol U		34		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	1
Fisika			K	46		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
Kakaktua 3		Bds 2 Jl.. Kakaktua 3	E1			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	1
Kapuas				42		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
Ketinjau			F2	16		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	1
Kimia Kompleks Pgri			H	46		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	1
Kolonel Syarifuddin Yoes						Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
Kolonel Syarifuddin Yoes	Nurul Qomar			53		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	6
Kolonel Syarifuddin Yoes Pmip D-4 93				50		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	5
Kutilang IV				24		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
Kutilang Raya				09		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	1
Letkol H Asnawi Arbain		Bukit Balikpapan Indah		51		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
Letkol H. Asnawi Arbain		Bukit Balikpapan Indah Jl.. Letkol H. Asnawi Arbain		51		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	1
Letkol Pol H Asnawi Arbain (jl Inhutani	8)					Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	5
Malioboro				37		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	8
Malioboro			6A	37		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	3
Mt. Haryono	Pln Alzen Residence					Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
Mt. Haryono	Pln Alzen Residence		M			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	3
Mt. Haryono Perum/gg. Orienz				54		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
Musi		Griya Permata Asri Jl.. Musi				Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	2
Nuri G2				19		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	3
Pialing 1				28		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	5
Pipit IV				11		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	2
Punai 4				21		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	3
Serindit 1			C1	05		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
Serindit V				04		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	3
Syarifuddin Yoes				45		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	5
Syarifuddin Yoes		Pondok Mentari	C			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
						Sepinggan	Balikpapan Selatan	Kota Balikpapan	8
			B/7			Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
			L			Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
			D			Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
	Tirtosari					Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
	Kalasuka			15		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
				17		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
				23		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
				33		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
				56		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
		Alam Sepinggan Asri	C/60	42		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
		Alam Sepinggan Asri G-52		42		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
		Alam Sepinggan Asri G-52		445		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
		Alam Sepinggan Asri G-52		45		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
		Balqis Santoso				Sepinggan	Balikpapan Selatan	Kota Balikpapan	2
		Balqis Santoso II Prona III		69		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
		Batara 3	E			Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
		Borneo Paradiso	A/3			Sepinggan	Balikpapan Selatan	Kota Balikpapan	5
		Borneo Paradiso	G5			Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
		Borneo Paradiso	L			Sepinggan	Balikpapan Selatan	Kota Balikpapan	5
		Borneo Paradiso Pinewood	K			Sepinggan	Balikpapan Selatan	Kota Balikpapan	5
		Bukit Her Mandiri		50		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
		Bukit Lestari/ Rulita Sari	B-7	56		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
		Bukit Prona Indah	J			Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
		Griya Telaga Ms	J/07			Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
		Her II	L6	58		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
		Her II	M4	58		Sepinggan	Balikpapan Selatan	Kota Balikpapan	2
		Her III	L6	58		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
		Laksana Kencana Indah		50		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
		Melati	B	49		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
		Melati Anurah Jaya		49		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
		Palm Hills	B			Sepinggan	Balikpapan Selatan	Kota Balikpapan	2
		Palm Hills City Garden Villa		08		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
		Papan Lestari				Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
		Papan Lestari	B	42		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
		Papan Lestari		44		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
		Papan Lestari Nomor 10		43		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
		Pelangi Cozy	B			Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
		Pelangi Cozy Residence	B-4	57		Sepinggan	Balikpapan Selatan	Kota Balikpapan	5
		Pesona Paksi Biru	B.17	64		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
		Pesona Paksi Biru	B	64		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
		Prusda				Sepinggan	Balikpapan Selatan	Kota Balikpapan	2
	Melon	Pt. Her II	M4			Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
		Pt. Her II	L8	58		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
		Pt. Her Mandiri	W-12	48		Sepinggan	Balikpapan Selatan	Kota Balikpapan	5
		Regalia Residence				Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
		Regency Balikpapan				Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
		Sepinggan Asri	D	43		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
		Sepinggan Asri	H	45		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
		Telaga Mas	K	52		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
		Tni Au Sepinggan				Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
		Tni Au Sepinggan		31		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Angkasa 1		Renosari Jalan Angkasa 1		40		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Berlian XI			L			Sepinggan	Balikpapan Selatan	Kota Balikpapan	2
Bromo		Her II	Z1			Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
Bromo		Her II Jl.. Bromo	Z2			Sepinggan	Balikpapan Selatan	Kota Balikpapan	2
Bromo		Pt. Her II	Z2	48		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Bukit Prona Indah			N	53		Sepinggan	Balikpapan Selatan	Kota Balikpapan	2
Daksa Raya			AR	08		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Daksa Raya Residence Ph03			PH3			Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Daksa Timur III				05		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Daksa XI Sepinggan						Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Hutan Kota Perjuangan I				17		Sepinggan	Balikpapan Selatan	Kota Balikpapan	2
Intan 3				26		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
Intan III				26		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Jaya Wijaya		Pt. Her II Jl.. Jaya Wijaya		66		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Kerinci			W	48		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Lengkeng			L3	58		Sepinggan	Balikpapan Selatan	Kota Balikpapan	5
Marsma R. Iswahyudi	Melati					Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Marsma R. Iswahyudi						Sepinggan	Balikpapan Selatan	Kota Balikpapan	5
Marsma R. Iswahyudi				15		Sepinggan	Balikpapan Selatan	Kota Balikpapan	9
Marsma R. Iswahyudi	Melati I			20		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
Mukmin Faisal		Batara I		70		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Mukmin Faisal		Griya Bukit Residence	J	70		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
Mukmin Faisal		Paksi Biru	F	64		Sepinggan	Balikpapan Selatan	Kota Balikpapan	2
Mukmin Faisyal				64		Sepinggan	Balikpapan Selatan	Kota Balikpapan	5
Mukmin Faisyal		Paksi Biru	B.15	64		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Mulawarman	Tesoro					Sepinggan	Balikpapan Selatan	Kota Balikpapan	7
Mulawarman						Sepinggan	Balikpapan Selatan	Kota Balikpapan	2
Mulawarman				10		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Mulawarman	Slamet Riyadi 2			12		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Mulawarman	Slamet Riadi			12		Sepinggan	Balikpapan Selatan	Kota Balikpapan	2
Mulawarman				12		Sepinggan	Balikpapan Selatan	Kota Balikpapan	6
Mulawarman				13		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Mulawarman				59		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Mulawarman 13						Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
Mulawarman Rt10				10		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
Prona 3	Karya Warga					Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Prona III	Rukun			19		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Prona III		Balqis Santoso	BALQIS			Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Prona III		Bukit Prona Indah	V/9			Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Sepinggan Asri III						Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
Sepinggan Asri III				41		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Sepinggan Asri Ix/39			D	61		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Sepinggan Asri Utara				44		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Sepinggan Asri Utara 1				45		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Sepinggan Asri Utara IV			G	45		Sepinggan	Balikpapan Selatan	Kota Balikpapan	5
Sepinggan Asri XIII		Papan Lestari	D	43		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Sepinggan Atas				43		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Sepinggan Baru						Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
Sepinggan Baru				32		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
