Jalan	Gang	Perumahan_Blok_Komplek	Blok	RT	RW	Kelurahan	Kecamatan	Kota_Kab	Jumlah_Entri_Alamat_Sama
Melati				15		Manggar	Balikpapan Timur	Kota Balikpapan	3
Minang Kabau				04		Manggar	Balikpapan Timur	Kota Balikpapan	3
Mulawarman	Barokah					Manggar	Balikpapan Timur	Kota Balikpapan	1
Mulawarman	Ar Rahman					Manggar	Balikpapan Timur	Kota Balikpapan	5
Mulawarman						Manggar	Balikpapan Timur	Kota Balikpapan	11
Mulawarman				03		Manggar	Balikpapan Timur	Kota Balikpapan	6
Mulawarman	Hidayatturahman			04		Manggar	Balikpapan Timur	Kota Balikpapan	2
Mulawarman				06		Manggar	Balikpapan Timur	Kota Balikpapan	4
Mulawarman				10		Manggar	Balikpapan Timur	Kota Balikpapan	7
Mulawarman				17		Manggar	Balikpapan Timur	Kota Balikpapan	1
Mulawarman	Amal			19		Manggar	Balikpapan Timur	Kota Balikpapan	8
Mulawarman				22		Manggar	Balikpapan Timur	Kota Balikpapan	5
Mulawarman	Wonorame			23		Manggar	Balikpapan Timur	Kota Balikpapan	5
Mulawarman				23		Manggar	Balikpapan Timur	Kota Balikpapan	4
Mulawarman				29		Manggar	Balikpapan Timur	Kota Balikpapan	3
Mulawarman	Airium Rt30			30		Manggar	Balikpapan Timur	Kota Balikpapan	4
Mulawarman				31		Manggar	Balikpapan Timur	Kota Balikpapan	4
Mulawarman				38		Manggar	Balikpapan Timur	Kota Balikpapan	3
Mulawarman				39		Manggar	Balikpapan Timur	Kota Balikpapan	20
Mulawarman	Slamet			40		Manggar	Balikpapan Timur	Kota Balikpapan	5
Mulawarman	Amal			51		Manggar	Balikpapan Timur	Kota Balikpapan	1
Mulawarman				51		Manggar	Balikpapan Timur	Kota Balikpapan	3
Mulawarman	Kunang Kunang			52		Manggar	Balikpapan Timur	Kota Balikpapan	3
Mulawarman	Kunang-kunang			52		Manggar	Balikpapan Timur	Kota Balikpapan	7
Mulawarman	Alista			52		Manggar	Balikpapan Timur	Kota Balikpapan	5
Mulawarman	Kunag-kunang			52		Manggar	Balikpapan Timur	Kota Balikpapan	2
Mulawarman				54		Manggar	Balikpapan Timur	Kota Balikpapan	14
Mulawarman	Arrahman N0 30 Rt055			55		Manggar	Balikpapan Timur	Kota Balikpapan	1
Mulawarman				55		Manggar	Balikpapan Timur	Kota Balikpapan	7
Mulawarman	Ar Rahman			55		Manggar	Balikpapan Timur	Kota Balikpapan	6
Mulawarman	Kunang-kunang			70		Manggar	Balikpapan Timur	Kota Balikpapan	8
Mulawarman		Graha Mulawarman	HI	91		Manggar	Balikpapan Timur	Kota Balikpapan	5
Mulawarman Pjhi				22		Manggar	Balikpapan Timur	Kota Balikpapan	1
Mulawrman N031 Rt55				55		Manggar	Balikpapan Timur	Kota Balikpapan	4
Padat Karya				08		Manggar	Balikpapan Timur	Kota Balikpapan	2
Padat Karya				90		Manggar	Balikpapan Timur	Kota Balikpapan	5
Padat Karya		De Green Azarya	A3	90		Manggar	Balikpapan Timur	Kota Balikpapan	4
Pembangunan				94		Manggar	Balikpapan Timur	Kota Balikpapan	4
Pemuda						Manggar	Balikpapan Timur	Kota Balikpapan	6
Pemuda				06		Manggar	Balikpapan Timur	Kota Balikpapan	3
Pemuda	Aster			07		Manggar	Balikpapan Timur	Kota Balikpapan	3
Pemuda				66		Manggar	Balikpapan Timur	Kota Balikpapan	22
Pemuda				68		Manggar	Balikpapan Timur	Kota Balikpapan	4
Pemuda		Batakan Asri 2	F2			Manggar	Balikpapan Timur	Kota Balikpapan	2
Pemuda		Batakan Indah	K1	68		Manggar	Balikpapan Timur	Kota Balikpapan	4
Pemuda		Bukit Batakan Permai	F5			Manggar	Balikpapan Timur	Kota Balikpapan	3
Pemuda		Pesona Bukit Batakan	A2			Manggar	Balikpapan Timur	Kota Balikpapan	5
Pemuda Batakan						Manggar	Balikpapan Timur	Kota Balikpapan	26
Pemuda Batakan	Beruang Madu					Manggar	Balikpapan Timur	Kota Balikpapan	4
Pemuda Batakan				66		Manggar	Balikpapan Timur	Kota Balikpapan	18
Pemuda Batakan Dalam				66		Manggar	Balikpapan Timur	Kota Balikpapan	2
Perdana				12		Manggar	Balikpapan Timur	Kota Balikpapan	7
Persatuan				39		Manggar	Balikpapan Timur	Kota Balikpapan	3
Pesantren 2	Murni 8			91		Manggar	Balikpapan Timur	Kota Balikpapan	4
Pesatuan				44		Manggar	Balikpapan Timur	Kota Balikpapan	2
Pjh Batakan				15		Manggar	Balikpapan Timur	Kota Balikpapan	3
Pjhi	Birawa					Manggar	Balikpapan Timur	Kota Balikpapan	3
Pjhi				14		Manggar	Balikpapan Timur	Kota Balikpapan	1
Pjhi	Swadaya			14		Manggar	Balikpapan Timur	Kota Balikpapan	3
Pjhi				15		Manggar	Balikpapan Timur	Kota Balikpapan	2
Pjhi	Nusantara			22		Manggar	Balikpapan Timur	Kota Balikpapan	4
Pjhi		Cgs	AB2	58		Manggar	Balikpapan Timur	Kota Balikpapan	1
Pjhi		Cgs	AF	58		Manggar	Balikpapan Timur	Kota Balikpapan	5
Pjhi Batakan	Nusantara					Manggar	Balikpapan Timur	Kota Balikpapan	4
Pjhi Batakan				15		Manggar	Balikpapan Timur	Kota Balikpapan	19
Pjhi Batakan	Asoka			15		Manggar	Balikpapan Timur	Kota Balikpapan	8
Pjhi Batakan				16		Manggar	Balikpapan Timur	Kota Balikpapan	12
Pjhi Batakan				17		Manggar	Balikpapan Timur	Kota Balikpapan	2
Pjhi Batakan				22		Manggar	Balikpapan Timur	Kota Balikpapan	6
Pjhi Batakan				50		Manggar	Balikpapan Timur	Kota Balikpapan	5
Pjhi Batakan		Cgs		82		Manggar	Balikpapan Timur	Kota Balikpapan	4
Pjhi Dalam	Jambu	Cgs 2		81		Manggar	Balikpapan Timur	Kota Balikpapan	3
Pjhi Dalam	Wira 2	Cgs 2		81		Manggar	Balikpapan Timur	Kota Balikpapan	3
Pjhi Dalam	Setia	Cgs 2		81		Manggar	Balikpapan Timur	Kota Balikpapan	2
Pjhi Dalam	Pucuk Merah	Cgs 2		81		Manggar	Balikpapan Timur	Kota Balikpapan	4
Pjhi Hm Tuadji Batakan				84		Manggar	Balikpapan Timur	Kota Balikpapan	3
Pjhi Hm Tuadji Batakan				85		Manggar	Balikpapan Timur	Kota Balikpapan	2
Pjhi Padat Karya	Seruni Batakan			84		Manggar	Balikpapan Timur	Kota Balikpapan	11
Proklamasi	Al-amin		L			Manggar	Balikpapan Timur	Kota Balikpapan	5
Proklamasi				32		Manggar	Balikpapan Timur	Kota Balikpapan	1
Proklamasi				37		Manggar	Balikpapan Timur	Kota Balikpapan	4
Proklamasi				38		Manggar	Balikpapan Timur	Kota Balikpapan	10
Proklamasi				62		Manggar	Balikpapan Timur	Kota Balikpapan	5
Telaga Mas		Griya Telaga Mas	I			Manggar	Balikpapan Timur	Kota Balikpapan	1
				01		Manggar Baru	Balikpapan Timur	Kota Balikpapan	3
				48		Manggar Baru	Balikpapan Timur	Kota Balikpapan	3
Perjuangan				48		Manggar Baru	Balikpapan Timur	Kota Balikpapan	1
Persatuan 1						Manggar Baru	Balikpapan Timur	Kota Balikpapan	1
Pesatuanrt01						Manggar Baru	Balikpapan Timur	Kota Balikpapan	1
				17		Teritip	Balikpapan Timur	Kota Balikpapan	5
	Abah			18		Teritip	Balikpapan Timur	Kota Balikpapan	4
Mulawarman						Teritip	Balikpapan Timur	Kota Balikpapan	2
Mulawarman				04		Teritip	Balikpapan Timur	Kota Balikpapan	5
Mulawarman				12		Teritip	Balikpapan Timur	Kota Balikpapan	5
Mulawarman				17		Teritip	Balikpapan Timur	Kota Balikpapan	6
Mulawarman				19		Teritip	Balikpapan Timur	Kota Balikpapan	3
Mulawarman	Swadaya No99			35		Teritip	Balikpapan Timur	Kota Balikpapan	1
Mulawarman	Swadaya			35		Teritip	Balikpapan Timur	Kota Balikpapan	3
Mulawarman	Swadesa			36		Teritip	Balikpapan Timur	Kota Balikpapan	1
Mulawarman N01				17		Teritip	Balikpapan Timur	Kota Balikpapan	1
Mulawarman Rt17				17		Teritip	Balikpapan Timur	Kota Balikpapan	1
Pendidikan	Abah			18		Teritip	Balikpapan Timur	Kota Balikpapan	1
Sriwijaya 2				41		Teritip	Balikpapan Timur	Kota Balikpapan	2
		Batu Ampar Permai	B-2			Graha Indah	Balikpapan Utara	Kota Balikpapan	1
		Klaus Reppe Km.7		45		Graha Indah	Balikpapan Utara	Kota Balikpapan	3
Taman Sari			I-3			Graha Indah	Balikpapan Utara	Kota Balikpapan	1
Lembah Mutiara			H			Gunung Samarinda Baru	Balikpapan Utara	Kota Balikpapan	2
Arjuna Gn. Polisi				67		Muara Rapak	Balikpapan Utara	Kota Balikpapan	5
Nangka				03		Bukuan	Palaran	Kota Samarinda	1
		Puspita Bp	QQ	71		Bukit Pinang	Samarinda Ulu	Kota Samarinda	1
				07	13	Ngampilan	Ngampilan	Kota Yogyakarta	3
